iter	Passed	Remaining
0	1097	42786
1	2465	46842
2	3634	44829
3	4993	44945
4	6239	43673
5	7661	43416
6	8863	41784
7	10215	40861
8	11402	39276
9	12836	38510
10	14013	36945
11	15366	35854
12	16589	34454
13	17995	33419
14	19169	31948
15	19683	29524
16	21115	28567
17	22279	27229
18	23698	26193
19	25066	25066
20	26426	23909
21	27765	22717
22	29100	21509
23	30297	20198
24	31664	18998
25	32899	17715
26	32922	15851
27	34248	14677
28	35399	13427
29	36883	12294
30	38030	11041
31	39425	9856
32	40648	8622
33	42071	7424
34	43270	6181
35	44712	4968
36	45839	3716
37	47267	2487
38	48465	1242
39	49796	0
