iter	Passed	Remaining
0	242	9466
1	449	8543
2	660	8144
3	873	7859
4	1087	7613
5	1300	7370
6	1524	7187
7	1737	6951
8	1962	6760
9	2194	6584
10	2441	6437
11	2664	6217
12	2887	5998
13	3110	5777
14	3338	5563
15	3561	5342
16	3781	5116
17	4022	4915
18	4248	4696
19	4469	4469
20	4683	4237
21	4899	4008
22	5116	3781
23	5346	3564
24	5564	3338
25	5780	3112
26	5997	2887
27	6214	2663
28	6440	2443
29	6656	2218
30	6875	1996
31	7120	1780
32	7337	1556
33	7558	1333
34	7776	1110
35	8001	889
36	8220	666
37	8431	443
38	8649	221
39	8896	0
