,features
0,fwd_data_pkts_tot
1,fwd_pkts_per_sec
2,bwd_pkts_per_sec
3,bwd_header_size_min
4,flow_FIN_flag_count
5,flow_RST_flag_count
6,fwd_pkts_payload.min
7,fwd_pkts_payload.max
8,fwd_pkts_payload.tot
9,fwd_pkts_payload.avg
10,fwd_pkts_payload.std
11,bwd_pkts_payload.min
12,bwd_pkts_payload.tot
13,bwd_pkts_payload.avg
14,flow_pkts_payload.min
15,fwd_iat.min
16,fwd_iat.max
17,fwd_iat.avg
18,bwd_iat.min
19,bwd_iat.tot
20,bwd_iat.avg
21,flow_iat.min
22,flow_iat.tot
23,flow_iat.std
24,payload_bytes_per_second
25,fwd_subflow_pkts
26,fwd_subflow_bytes
27,fwd_bulk_bytes
28,fwd_bulk_packets
29,fwd_bulk_rate
30,idle.min
31,idle.tot
32,fwd_init_window_size
33,bwd_init_window_size
34,fwd_last_window_size
