iter	MultiClass
0	1.336108975
1	1.160041309
2	1.027737979
3	0.9229203458
4	0.8390859868
5	0.7694026313
6	0.7112565684
7	0.6631412409
8	0.6202681518
9	0.5831310561
10	0.5508297674
11	0.5222448064
12	0.4974353437
13	0.474964788
14	0.4552149278
15	0.4381253989
16	0.4201014526
17	0.4057451072
18	0.3925106103
19	0.3805679422
20	0.370331774
21	0.3605321811
22	0.3519628782
23	0.3428520758
24	0.3348978309
25	0.3282933582
26	0.3225471311
27	0.317181991
28	0.3130238743
29	0.3078805024
30	0.3032451471
31	0.3002533131
32	0.2963758065
33	0.2939408715
34	0.2910086173
35	0.2876694741
36	0.2848281657
37	0.2823181522
38	0.2808538945
39	0.2786652337
40	0.2765227859
41	0.2752299356
42	0.2729716259
43	0.2708611197
44	0.2701731262
45	0.2686801585
46	0.2675420366
47	0.2666645823
48	0.2652947834
49	0.2644921459
50	0.2630088539
51	0.2623270564
52	0.2614821561
53	0.2599466576
54	0.2589335252
55	0.2583709831
56	0.2575547894
57	0.2563531389
58	0.2556319933
59	0.2548107057
60	0.2539614027
61	0.2530228761
62	0.252422665
63	0.2516906614
64	0.2512662305
65	0.2506325433
66	0.2500051441
67	0.2493762734
68	0.2489327027
69	0.2483359616
70	0.2475718911
71	0.2469634576
72	0.2465337157
73	0.2458165742
74	0.2453447354
75	0.2446833945
76	0.2440228465
77	0.243589691
78	0.2431996733
79	0.2428175948
