iter	Passed	Remaining
0	112	8909
1	216	8431
2	328	8440
3	433	8233
4	534	8018
5	640	7896
6	742	7745
7	845	7612
8	949	7489
9	1052	7368
10	1156	7257
11	1265	7171
12	1375	7090
13	1483	6992
14	1589	6887
15	1698	6794
16	1797	6662
17	1903	6555
18	2007	6445
19	2114	6343
20	2217	6230
21	2319	6114
22	2425	6010
23	2527	5897
24	2631	5789
25	2732	5675
26	2834	5564
27	2936	5453
28	3043	5352
29	3144	5240
30	3248	5135
31	3355	5033
32	3460	4928
33	3562	4820
34	3664	4711
35	3774	4613
36	3878	4507
37	3987	4407
38	4092	4301
39	4198	4198
40	4306	4096
41	4412	3991
42	4517	3887
43	4625	3784
44	4739	3686
45	4849	3584
46	4957	3480
47	5065	3377
48	5167	3269
49	5270	3162
50	5376	3057
51	5485	2953
52	5590	2848
53	5695	2742
54	5802	2637
55	5908	2532
56	6022	2430
57	6136	2327
58	6248	2224
59	6354	2118
60	6459	2011
61	6564	1905
62	6674	1801
63	6780	1695
64	6888	1589
65	6996	1484
66	7103	1378
67	7210	1272
68	7319	1166
69	7432	1061
70	7538	955
71	7644	849
72	7749	743
73	7858	637
74	7961	530
75	8069	424
76	8173	318
77	8281	212
78	8390	106
79	8497	0
