,importance
0,-0.17578079714766834
1,5.324335233602907
2,-1.1676031400175275
3,13.283194793902378
4,-2.5738084375919055
5,1.4041710176871915
6,-15.870658504869487
7,-1.3809890539432295
8,3.7266120695071088
9,-1.5066165127070947
10,-4.031566668701655
11,0.547859132936183
12,1.747327966095876
13,2.18751094702509
14,-2.0127986436453136
15,-1.4368999418875048
16,-2.7431550649047884
17,0.30515308594635143
18,-7.641691273986463
19,-6.259572796282398
20,1.1995279706098747
21,-0.662888535906081
22,-0.11729501438752699
23,-0.695303224264351
24,-0.028370127858801178
25,-0.8008636970036253
26,-2.988157166018965
27,-6.174435066434587
28,1.4956385021012628
29,3.0527784057097405
30,-28.121758356774766
31,3.3202539430830336
32,-3.429926410648078
33,0.22725218126314875
34,5.694743773309848
35,-0.3776072765041099
36,-2.3935518072653967
37,-4.481991572208318
38,4.729726147323268
39,-10.661446199641013
40,1.8148464646861602
41,0.378569045669631
42,2.1120562903068167
43,-4.4930079437940575
44,-0.8996106588721523
45,-10.597501416834996
46,-4.013653577897644
47,-15.460513629894074
48,-7.59712775359272
49,13.079011589756215
50,3.7205010056169954
51,-1.6050825550742374
52,-0.40770074186916205
53,-2.630724876885977
54,-0.5795841365081541
55,0.26154798729300877
56,14.812076167154899
57,-3.286351987807094
58,-10.523057586457154
59,-4.168339122483489
60,-11.688443051244038
61,4.130678344377221
62,0.29041165677019865
63,-3.633869594106571
64,0.36537563799335937
65,0.0011152794044721284
66,0.3796269042648103
67,-2.1760996362592047
68,5.475608277345436
69,2.030364809783132
70,2.9041525054783284
71,2.8292946071198357
72,-1.5999495540502027
73,-1.863047776564923
74,1.9013009235683367
75,2.1899468338499775
76,1.0426232488978542
77,-0.40719943849422874
78,-3.892739973259705
