,importance
0,-6.833250089011045
1,408.4087328176505
2,-14.52284836189013
3,580.6746264498166
4,-248.12546736749692
5,-7058.110436505794
6,-11630.340814575724
7,-18919.800765164742
8,5.758481039136826
9,2958.8998121282034
10,-84.34643658689671
11,13.588781312432852
12,8452.879384373027
13,56.714269310964575
14,-32.07817598845044
15,-0.805266068315062
16,-2.4340520155387777
17,0.22308368087957273
18,-391.4374691559897
19,-93.76411821760055
20,248.11251128718536
21,-0.002107652333785417
22,0.0006252801101810971
23,-0.002740259671988179
24,0.0018383620609637272
25,-65.51498570091205
26,-855.2034827202542
27,-32514.575531197548
28,172.90430489103113
29,144.30556778849248
30,-1189.9034302032146
31,16733.393555423616
32,-197836.18602873135
33,2448.950502844862
34,1087.7138638031545
35,50.80208916445925
36,-14352.348880362464
37,-236006.43291546108
38,-559.5435172078576
39,-2632.5650741339155
40,86883.30341506077
41,-6440945.716858048
42,-4327456.533680611
43,-8050336.215200486
44,1327209.1781358025
45,-68816.84248628348
46,-24900038.79707501
47,-315031881.488054
48,-7932550.3437923165
49,64410581.7886494
50,813061.7524674244
51,-30358115.377449036
52,-16081718.83873494
53,-2812412.5999838742
54,-24189028.6496946
55,-161368.75147856053
56,308.63672935455816
57,-299.8859699171877
58,-7665.81425601665
59,23689.22290003135
60,0.5014841054209271
61,85791.18527452086
62,0.2946737593189896
63,-18.808443213608193
64,-0.004667339497132723
65,-61591.988421292815
66,1288726.7216880422
67,-15818318.295258945
68,15725678.916046714
69,8975415.260475898
70,207089.97273601242
71,40927371.922597826
72,6698297.388218549
73,-39942590.50731051
74,54958096.64932009
75,140453.24701284998
76,-30661.339724502148
77,-9943.562160375443
78,-55638.14361126071
